objectid,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,filename,identifier,object_location,image_small,image_thumb
col001_1,Earl Rambo - Toll Gate,,1930,yes,Earl Rambo driving wagon through hills. Earl lived from 1895-1958 so we estimage this image dates from 1930.,men;wagons;horses;mountains;trails,,,,,Image;StillImage,image/jpg,eng,,,coll001-1.jpg,coll001-1,objects/coll001-1.jpg,objects/small/coll001-1_sm.jpg,objects/thumbs/coll001-1_th.jpg
col001_2,Earl Rambo - Winter,,1915,,Man in horse drawn buggy,men;carriages;horses,,,,,Image;StillImage,image/jpg,eng,,,coll001-2.jpg,coll001-2,objects/coll001-2.jpg,objects/small/coll001-2_sm.jpg,objects/thumbs/coll001-2_th.jpg
col001_3,Four horse riders,,1917,,"Earl Rambo, Frank Hudson, Etta Hudson, and Lissa Cleek posing for a picture",men;women;horses,,,,,Image;StillImage,image/jpg,eng,,,coll001-3.jpg,coll001-3,objects/coll001-3.jpg,objects/small/coll001-3_sm.jpg,objects/thumbs/coll001-3_th.jpg
col001_4,Creamery Stack,,1934,yes,Challenge Butter Creamery Stack,"smokestack;Challenge Butter;creamery,dairy","Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-4.jpg,coll001-4,objects/coll001-4.jpg,objects/small/coll001-4_sm.jpg,objects/thumbs/coll001-4_th.jpg
col001_5,Burial Plots at the Meridian Cemetery,,1940,yes,View of the Meridian Cemetery,cemetery;men;women;crowd;flowers;headstones,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-5.jpg,coll001-5,objects/coll001-5.jpg,objects/small/coll001-5_sm.jpg,objects/thumbs/coll001-5_th.jpg
col001_6,Horses Transport Milk Cans to the Creamery,C. Gray,1934,,Outside of Meridian Creamery,creamery;men;horses;wagons;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-6.jpg,coll001-6,objects/coll001-6.jpg,objects/small/coll001-6_sm.jpg,objects/thumbs/coll001-6_th.jpg
col001_7,Amos Whiteley & Family,,1886,,Amos Whiteley as a child with his parents outside their home,men;women;children;homesteads,,,,,Image;StillImage,image/jpg,eng,,,coll001-7.jpg,coll001-7,objects/coll001-7.jpg,objects/small/coll001-7_sm.jpg,objects/thumbs/coll001-7_th.jpg
col001_8,Creamery Workers Perform Maintenance,C. Gray,1934,,Worker outside Meridian Creamery,creamery;men;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-8.jpg,coll001-8,objects/coll001-8.jpg,objects/small/coll001-8_sm.jpg,objects/thumbs/coll001-8_th.jpg
col001_9,M.M. Louderbough & Son Hardware Store,C. Gray,1920,yes,Storefront of local hardware store,stores;storefronts;hardware;automobiles,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-9.jpg,coll001-9,objects/coll001-9.jpg,objects/small/coll001-9_sm.jpg,objects/thumbs/coll001-9_th.jpg
col001_10,Meridian Grade School,,1904,,Children playing outside Meridian Grade School,school;children;teachers;playgrounds;school yards,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-10.jpg,coll001-10,objects/coll001-10.jpg,objects/small/coll001-10_sm.jpg,objects/thumbs/coll001-10_th.jpg
col001_12,Peggy,,1946,,Young woman outside storefront with dog,women;dogs;storefronts;stores;pharmacies;automobiles,,,,,Image;StillImage,image/jpg,eng,,,coll001-12.jpg,coll001-12,objects/coll001-12.jpg,objects/small/coll001-12_sm.jpg,objects/thumbs/coll001-12_th.jpg
col001_13,Ada County Dairymen's Association,C. Gray,1930,yes,Outside the Ada County Dairymen's Association,dairymen;Challenge Butter;milk cans;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-13.jpg,coll001-13,objects/coll001-13.jpg,objects/small/coll001-13_sm.jpg,objects/thumbs/coll001-13_th.jpg
col001_14,Fletcher Oil Co.,C. Gray,1933,,Small oil company in Meridian,oil;Fletcher Oil Company;buildings,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-14.jpg,coll001-14,objects/coll001-14.jpg,objects/small/coll001-14_sm.jpg,objects/thumbs/coll001-14_th.jpg
col001_15,Meridian Street Scene,Unknown,1920,,Ida & E. 2nd Street scene,crowd;men;women;storefronts;streets,"Meridian, Idaho",43.611034,-116.390124,,Image;StillImage,image/jpg,eng,,,coll001-15.jpg,coll001-15,objects/coll001-15.jpg,objects/small/coll001-15_sm.jpg,objects/thumbs/coll001-15_th.jpg
col001_16,Meridian Creamery Smokestack,Unknown,1934,,The new smoke stack for the creamery,creamery;smokestack;dairy,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-16.jpg,coll001-16,objects/coll001-16.jpg,objects/small/coll001-16_sm.jpg,objects/thumbs/coll001-16_th.jpg
col001_17,Rural High School Gym,Unknown,,,Outside of the rural high school's gym,schools;gym;buildings;construction,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-17.jpg,coll001-17,objects/coll001-17.jpg,objects/small/coll001-17_sm.jpg,objects/thumbs/coll001-17_th.jpg
col001_18,Meridian Cemetery,C. Gray,1936,,View inside the cemetery,cemeteries;headstones;trees,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-18.jpg,coll001-18,objects/coll001-18.jpg,objects/small/coll001-18_sm.jpg,objects/thumbs/coll001-18_th.jpg
col001_19,Swede Boice in front of Bus,,1946,,Photograph of Swede Boice in front of a bus,Swede Boice;buses;Pacific Transit;men,,,,,Image;StillImage,image/jpg,eng,,,coll001-19.jpg,coll001-19,objects/coll001-19.jpg,objects/small/coll001-19_sm.jpg,objects/thumbs/coll001-19_th.jpg
col001_20,Side View of the Meridian Creamery,C. Gray,1934,,Man exiting the side of the Meridian Creamery,creamery;men;smokestacks,"Meridian, Idaho",43.6121,-116.3915,,Image;StillImage,image/jpg,eng,,,coll001-20.jpg,coll001-20,objects/coll001-20.jpg,objects/small/coll001-20_sm.jpg,objects/thumbs/coll001-20_th.jpg
